Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;ÖVP;FPÖ;SPÖ;GRÜNE;NEOS;MFG;KPÖ;BESTE;UBB;R
"LT21";"149";562;312;305;72;64;111;27;16;9;3;2;0;1
"LT21";"150";530;382;369;107;38;96;72;20;28;5;3;0;0
"LT21";"151";553;426;418;160;36;60;120;21;15;4;0;0;2
"LT21";"160";618;422;419;140;53;114;73;16;16;6;1;0;0
"LT21";"161";516;314;308;116;45;72;42;13;13;7;0;0;0
"LT21";"163";521;371;354;101;47;108;57;19;14;7;0;0;1
"LT21";"164";770;462;446;108;120;134;33;11;25;8;3;1;3
"LT21";"165";622;466;453;157;68;96;84;29;13;6;0;0;0
"LT21";"166";650;426;413;119;81;138;50;12;9;4;0;0;0
"LT21";"167";600;387;374;127;68;111;24;12;23;5;1;1;2
"LT21";"168";581;359;352;103;93;106;20;6;17;7;0;0;0
"LT21";"169";668;461;452;101;93;124;68;27;25;9;2;1;2
"LT21";"180";591;380;368;114;60;79;67;24;18;4;2;0;0
"LT21";"182";570;277;271;51;55;104;20;9;15;13;2;1;1
"LT21";"183";555;342;329;68;77;112;36;13;20;2;1;0;0
"LT21";"185";627;354;341;72;70;110;41;21;24;2;1;0;0
"LT21";"187";601;396;383;107;67;109;62;11;21;4;1;0;1
"LT21";"188";652;342;336;78;66;134;22;6;22;8;0;0;0
"LT21";"190";635;398;381;116;82;106;35;14;20;7;1;0;0
"LT21";"191";664;384;371;103;87;116;22;12;25;5;1;0;0
"LT21";"200";453;235;219;43;53;73;22;11;17;0;0;0;0
"LT21";"201";495;292;285;72;52;96;24;17;15;7;2;0;0
"LT21";"202";541;300;298;49;69;125;21;12;13;6;3;0;0
"LT21";"203";556;330;319;78;56;107;36;13;23;4;1;0;1
"LT21";"204";673;417;408;105;51;176;26;16;22;9;2;1;0
"LT21";"220";473;265;259;64;56;90;22;9;8;8;0;0;2
"LT21";"221";519;290;270;79;56;75;26;9;17;8;0;0;0
"LT21";"222";519;296;284;89;56;81;30;13;8;6;0;1;0
"LT21";"223";582;332;316;97;51;84;50;11;15;6;2;0;0
"LT21";"240";578;292;284;68;59;82;40;8;23;3;0;1;0
"LT21";"241";586;342;332;77;62;92;66;13;14;7;1;0;0
"LT21";"242";585;339;332;64;37;82;94;26;11;16;1;0;1
"LT21";"243";520;289;283;81;24;68;67;21;10;11;1;0;0
"LT21";"244";549;338;328;91;30;60;90;24;13;18;1;0;1
"LT21";"245";565;372;364;108;45;93;63;21;19;10;2;1;2
"LT21";"246";544;335;326;84;55;77;57;24;24;5;0;0;0
"LT21";"260";553;358;354;73;43;68;111;33;12;14;0;0;0
"LT21";"261";549;306;302;61;50;97;66;12;8;7;1;0;0
"LT21";"263";708;362;354;62;58;107;72;28;14;12;1;0;0
"LT21";"264";737;405;394;55;71;107;91;23;28;16;1;2;0
"LT21";"265";555;286;273;65;40;88;37;15;13;11;3;1;0
"LT21";"266";539;268;264;54;34;95;37;17;12;10;4;1;0
"LT21";"267";580;291;277;53;61;112;21;8;13;7;1;0;1
"LT21";"268";517;248;243;57;42;69;42;11;13;9;0;0;0
"LT21";"269";668;327;321;47;75;130;30;13;13;11;2;0;0
